step,scramble,epsilon,sr,avg_len,avg_return,loss,replay_fill,td_mean,td_max
1,1,1.0,0.0,200.0,0.0,0.0,1e-05,0.0,0.0
10001,1,0.9525,0.0,200.0,-0.012374999999999999,0.024843113496899605,0.10001,0.032223448157310486,0.7266342639923096
20001,1,0.905,0.0,200.0,-0.008287499999999998,0.030854465439915657,0.20001,0.05001966655254364,1.0492960214614868
30001,1,0.8575,0.0,200.0,-0.008587499999999998,0.02600637637078762,0.30001,0.056074995547533035,1.1937975883483887
40001,1,0.81,0.0,200.0,-0.012675,0.018065273761749268,0.40001,0.04189780727028847,1.2168688774108887
50001,1,0.7625,0.0,200.0,-0.009187499999999998,0.037600986659526825,0.50001,0.06846953928470612,1.9117097854614258
