step,scramble,epsilon,sr,avg_len,avg_return,loss,replay_fill,td_mean,td_max
1,4,1.0,0.0,200.0,0.0,0.0,1e-05,0.0,0.0
20001,4,0.81,0.0,200.0,-0.11530199999999884,7.363315671682358e-05,0.20001,0.015278579667210579,0.07555912435054779
40001,4,0.62,0.014285714285714285,197.18571428571428,-0.11099999999999888,8.726617670617998e-05,0.40001,0.015449326485395432,0.16780510544776917
60001,4,0.43000000000000005,0.02857142857142857,194.4857142857143,-0.0414999999999989,0.00012280431110411882,0.60001,0.015202751383185387,0.20952248573303223
80001,4,0.24,0.0,200.0,-0.03234499999999904,0.00023594543745275587,0.80001,0.02015126496553421,0.5374284982681274
100001,4,0.050000000000000044,0.0,200.0,-0.03611399999999902,0.0001254960661754012,1.0,0.01932740956544876,0.42233672738075256
120001,4,0.050000000000000044,0.0,200.0,0.016197000000001134,0.0005667518125846982,1.0,0.027280470356345177,0.5182698369026184
140001,4,0.050000000000000044,0.014285714285714285,197.27142857142857,-0.0284969999999989,0.0005113593069836497,1.0,0.0344366729259491,0.4870815873146057
160001,4,0.050000000000000044,0.02857142857142857,197.95714285714286,0.0031850000000010377,0.000544656824786216,1.0,0.032274406403303146,0.5575239658355713
180001,4,0.050000000000000044,0.0,200.0,-0.0016139999999989745,0.0005323985824361444,1.0,0.02870519645512104,1.6896858215332031
200001,4,0.050000000000000044,0.014285714285714285,198.3,0.046014000000001026,0.0001317026762990281,1.0,0.016089685261249542,0.29158273339271545
220001,4,0.050000000000000044,0.0,200.0,0.02375800000000102,9.863790182862431e-05,1.0,0.014437150210142136,0.2891087234020233
240001,4,0.050000000000000044,0.0,200.0,0.040523000000001114,9.917712304741144e-05,1.0,0.016999999061226845,0.21203398704528809
260001,4,0.050000000000000044,0.0,200.0,0.04732400000000105,0.00010869822290260345,1.0,0.018021002411842346,0.3145592510700226
280001,4,0.050000000000000044,0.014285714285714285,197.52857142857144,-0.0018069999999989301,0.0007777558057568967,1.0,0.03470083698630333,2.899568557739258
300001,4,0.050000000000000044,0.014285714285714285,199.72857142857143,0.03950700000000107,0.00019570279982872307,1.0,0.024180535227060318,0.29849380254745483
320001,4,0.050000000000000044,0.0,200.0,0.07769100000000118,0.0002818587818183005,1.0,0.03395255282521248,0.40976130962371826
340001,4,0.050000000000000044,0.0,200.0,0.0905090000000011,0.0003451142692938447,1.0,0.028454510495066643,0.40043315291404724
360001,4,0.050000000000000044,0.0,200.0,0.09419500000000117,0.000126448372611776,1.0,0.02194298431277275,0.39369872212409973
380001,4,0.050000000000000044,0.02857142857142857,194.57142857142858,0.11650500000000114,9.993062121793628e-05,1.0,0.018814627081155777,0.26429909467697144
400001,4,0.050000000000000044,0.014285714285714285,197.27142857142857,0.10650000000000114,8.539117698092014e-05,1.0,0.013825016096234322,0.2601272463798523
420001,4,0.050000000000000044,0.02857142857142857,194.45714285714286,0.1200000000000012,0.00010673112410586327,1.0,0.017583027482032776,0.23130440711975098
440001,4,0.050000000000000044,0.014285714285714285,197.18571428571428,0.12550000000000117,0.00014466242282651365,1.0,0.02007429674267769,0.313604474067688
460001,4,0.050000000000000044,0.0,200.0,0.10450000000000123,0.00021249058772809803,1.0,0.024223389104008675,0.49364563822746277
480001,4,0.050000000000000044,0.0,200.0,0.08100000000000115,6.326356378849596e-05,1.0,0.017361149191856384,0.2356511503458023
500001,4,0.050000000000000044,0.02857142857142857,194.4142857142857,0.14139200000000116,5.5978896853048354e-05,1.0,0.012672150507569313,0.16994941234588623
520001,4,0.050000000000000044,0.04285714285714286,191.64285714285714,0.18608300000000128,6.65768893668428e-05,1.0,0.014382664114236832,0.2779998183250427
540001,4,0.050000000000000044,0.08571428571428572,183.3,0.20103100000000132,9.889302600640804e-05,1.0,0.015468546189367771,0.3236808776855469
560001,4,0.050000000000000044,0.07142857142857142,185.97142857142856,0.20835400000000143,2.589894393167924e-05,1.0,0.010948115028440952,0.21118414402008057
580001,4,0.050000000000000044,0.05714285714285714,192.85714285714286,0.18697000000000144,5.654444976244122e-05,1.0,0.011144788935780525,0.35352376103401184
600001,4,0.050000000000000044,0.07142857142857142,188.78571428571428,0.24535700000000163,5.863812111783773e-05,1.0,0.011508257128298283,0.296016663312912
620001,4,0.050000000000000044,0.04285714285714286,191.64285714285714,0.23047900000000152,2.9244769393699244e-05,1.0,0.01168970949947834,0.13563542068004608
640001,4,0.050000000000000044,0.07142857142857142,186.3,0.25906400000000135,1.9719369447557256e-05,1.0,0.009042549878358841,0.14287716150283813
660001,4,0.050000000000000044,0.11428571428571428,178.77142857142857,0.23864100000000146,5.7130862842313945e-05,1.0,0.012734195217490196,0.21497154235839844
680001,4,0.050000000000000044,0.12857142857142856,178.05714285714285,0.2853510000000013,2.666520231286995e-05,1.0,0.010651598684489727,0.1831258237361908
700001,4,0.050000000000000044,0.04285714285714286,191.82857142857142,0.2999620000000016,7.287739572348073e-05,1.0,0.011968541890382767,0.3847031891345978
720001,4,0.050000000000000044,0.2,161.67142857142858,0.3356230000000016,1.755004996084608e-05,1.0,0.007688597310334444,0.11255104839801788
740001,4,0.050000000000000044,0.07142857142857142,187.9,0.35171900000000167,1.7443873730371706e-05,1.0,0.008321791887283325,0.14117924869060516
760001,4,0.050000000000000044,0.11428571428571428,177.78571428571428,0.29812400000000144,6.911169748491375e-06,1.0,0.006356777623295784,0.10973221063613892
780001,4,0.050000000000000044,0.12857142857142856,175.84285714285716,0.3462560000000017,8.788991181063466e-06,1.0,0.0067334468476474285,0.234919935464859
800001,4,0.050000000000000044,0.12857142857142856,174.8,0.3321190000000016,4.3367672333261e-06,1.0,0.004645712673664093,0.060206033289432526
820001,4,0.050000000000000044,0.1,181.25714285714287,0.3320320000000015,1.0818235750775784e-05,1.0,0.0050347959622740746,0.2883680760860443
840001,4,0.050000000000000044,0.12857142857142856,174.9,0.3289590000000016,1.268979576707352e-05,1.0,0.005721510387957096,0.07983095198869705
860001,4,0.050000000000000044,0.12857142857142856,175.32857142857142,0.3307180000000018,2.931724338850472e-06,1.0,0.004126564599573612,0.037306755781173706
880001,4,0.050000000000000044,0.1,180.74285714285713,0.3269210000000017,6.823579042247729e-06,1.0,0.004855189472436905,0.10527102649211884
900001,4,0.050000000000000044,0.18571428571428572,164.0142857142857,0.3467070000000018,1.3162813047529198e-05,1.0,0.006508742459118366,0.27109843492507935
920001,4,0.050000000000000044,0.12857142857142856,175.17142857142858,0.3460980000000015,2.4036808099481277e-06,1.0,0.004025924950838089,0.04552794247865677
940001,4,0.050000000000000044,0.1,181.45714285714286,0.3719250000000017,7.555444426543545e-06,1.0,0.004935837350785732,0.11161775141954422
960001,4,0.050000000000000044,0.2,160.88571428571427,0.3285800000000016,3.6350361369841266e-06,1.0,0.004141383338719606,0.08866234868764877
980001,4,0.050000000000000044,0.12857142857142856,175.2,0.39111500000000166,2.4444325390504673e-06,1.0,0.004305791109800339,0.09416212141513824
1000001,4,0.050000000000000044,0.08571428571428572,183.21428571428572,0.3007310000000016,8.455312126898207e-06,1.0,0.005044376943260431,0.13357695937156677
1020001,4,0.050000000000000044,0.1,180.45714285714286,0.34706600000000165,3.3678065847198013e-06,1.0,0.0038136907387524843,0.06691543757915497
1040001,4,0.050000000000000044,0.24285714285714285,153.21428571428572,0.3206340000000016,4.923234882880934e-06,1.0,0.005226420238614082,0.13013651967048645
1060001,4,0.050000000000000044,0.15714285714285714,169.35714285714286,0.3471030000000016,6.801898507546866e-06,1.0,0.005083123221993446,0.089388407766819
1080001,4,0.050000000000000044,0.1,180.5142857142857,0.3158770000000015,1.3579807273345068e-05,1.0,0.004790671169757843,0.33821120858192444
1100001,4,0.050000000000000044,0.11428571428571428,177.55714285714285,0.34986700000000165,1.366504693578463e-05,1.0,0.006577115505933762,0.17578968405723572
1120001,4,0.050000000000000044,0.17142857142857143,167.9,0.3365000000000016,1.3541851330955978e-05,1.0,0.005941929295659065,0.22336775064468384
1140001,4,0.050000000000000044,0.11428571428571428,177.74285714285713,0.34283800000000164,3.5827924875775352e-06,1.0,0.004576690029352903,0.07549354434013367
