step,scramble,epsilon,sr,avg_len,avg_return,loss,replay_fill,td_mean,td_max
1,4,1.0,0.0,200.0,0.0,0.0,1e-05,0.0,0.0
20001,4,0.81,0.014285714285714285,197.24285714285713,-0.05730199999999885,4.185324360150844e-05,0.20001,0.010345098562538624,0.2568531632423401
40001,4,0.62,0.04285714285714286,191.55714285714285,-0.04247899999999895,3.1382405722979456e-05,0.40001,0.010828034952282906,0.22597935795783997
60001,4,0.43000000000000005,0.014285714285714285,197.2,-0.04232099999999884,9.062148455996066e-05,0.60001,0.015620638616383076,0.2221052050590515
80001,4,0.24,0.0,200.0,-0.03435899999999891,0.00020136035163886845,0.80001,0.027556944638490677,0.2552450895309448
100001,4,0.050000000000000044,0.0,200.0,-0.08180499999999881,0.0007674563676118851,1.0,0.045550450682640076,1.4464257955551147
120001,4,0.050000000000000044,0.0,200.0,-0.03699499999999882,0.00229075294919312,1.0,0.07443948835134506,1.9651998281478882
140001,4,0.050000000000000044,0.0,200.0,-0.062499999999998924,0.0030685821548104286,1.0,0.09158074855804443,2.7455689907073975
1,4,1.0,0.0,200.0,0.0,0.0,1e-05,0.0,0.0
10001,4,0.9525,0.02857142857142857,194.37142857142857,-0.10660399999999887,1.3236733138910495e-05,0.10001,0.006963813211768866,0.04328042268753052
160001,4,0.050000000000000044,0.014285714285714285,197.18571428571428,-0.06949999999999903,0.008562527596950531,1.0,0.18018481135368347,3.97548508644104
20001,4,0.905,0.014285714285714285,197.25714285714287,-0.09130199999999887,3.2683055906090885e-05,0.20001,0.013712814077734947,0.15923576056957245
30001,4,0.8575,0.0,200.0,-0.0694999999999989,2.1913376258453354e-05,0.30001,0.010955171659588814,0.05985558032989502
180001,4,0.050000000000000044,0.0,200.0,-0.08899999999999891,0.024112336337566376,1.0,0.35669952630996704,5.314438819885254
40001,4,0.81,0.0,200.0,-0.09749999999999881,4.851892663282342e-05,0.40001,0.014813171699643135,0.18358705937862396
200001,4,0.050000000000000044,0.0,200.0,-0.039499999999998946,0.025582000613212585,1.0,0.28077390789985657,6.592038631439209
50001,4,0.7625,0.0,200.0,-0.13299999999999873,0.00010439095785841346,0.50001,0.02192976325750351,0.16210675239562988
60001,4,0.7150000000000001,0.0,200.0,-0.11299999999999885,0.0002946853346657008,0.60001,0.039272889494895935,0.8388445377349854
220001,4,0.050000000000000044,0.0,200.0,-0.05830499999999894,0.02507489174604416,1.0,0.5653456449508667,8.08572006225586
70001,4,0.6675,0.0,200.0,-0.10249999999999888,0.0007276393007487059,0.70001,0.053352098912000656,0.30454230308532715
80001,4,0.62,0.0,200.0,-0.08599999999999898,0.002195532899349928,0.80001,0.08437842130661011,2.3002729415893555
240001,4,0.050000000000000044,0.0,200.0,-0.09299499999999891,0.05907142162322998,1.0,0.658928394317627,10.240944862365723
90001,4,0.5725,0.0,200.0,-0.05249999999999907,0.0017804590752348304,0.90001,0.11084844917058945,2.176595687866211
260001,4,0.050000000000000044,0.0,200.0,-0.0729999999999989,0.051645416766405106,1.0,0.6683142185211182,12.246776580810547
100001,4,0.525,0.0,200.0,-0.06949999999999892,0.0063385674729943275,1.0,0.15714313089847565,2.0922088623046875
110001,4,0.47750000000000004,0.0,200.0,-0.06499999999999877,0.017163118347525597,1.0,0.27979838848114014,8.223922729492188
280001,4,0.050000000000000044,0.0,200.0,-0.05380399999999903,0.09826728701591492,1.0,1.2209498882293701,16.415027618408203
120001,4,0.43000000000000005,0.0,200.0,-0.10399999999999865,0.015301118604838848,1.0,0.3291175961494446,10.914352416992188
300001,4,0.050000000000000044,0.0,200.0,-0.09249599999999888,0.08944706618785858,1.0,1.0996562242507935,22.889503479003906
130001,4,0.38250000000000006,0.0,200.0,-0.1479999999999987,0.03472204506397247,1.0,0.4637937545776367,13.866949081420898
140001,4,0.3350000000000001,0.0,200.0,-0.13149999999999884,0.0881018191576004,1.0,0.788398027420044,18.78038787841797
320001,4,0.050000000000000044,0.0,200.0,-0.059499999999998915,0.21694080531597137,1.0,2.251420497894287,33.737449645996094
150001,4,0.2875000000000001,0.0,200.0,-0.09749999999999888,0.17141100764274597,1.0,1.1235591173171997,39.17984390258789
340001,4,0.050000000000000044,0.014285714285714285,197.21428571428572,-0.12599999999999886,0.21008257567882538,1.0,2.891063690185547,37.6599006652832
160001,4,0.24,0.0,200.0,-0.06549999999999893,0.21984784305095673,1.0,1.4318581819534302,28.650930404663086
170001,4,0.1925,0.0,200.0,-0.0949999999999989,0.32674604654312134,1.0,2.4059786796569824,43.302772521972656
360001,4,0.050000000000000044,0.0,200.0,-0.06549999999999889,0.32509326934814453,1.0,3.723721981048584,50.77690124511719
180001,4,0.14500000000000002,0.0,200.0,-0.13149999999999878,0.3976806700229645,1.0,3.5243568420410156,65.6968765258789
190001,4,0.09750000000000003,0.0,200.0,-0.13299999999999873,1.0949480533599854,1.0,6.371230602264404,224.3469696044922
380001,4,0.050000000000000044,0.0,200.0,-0.07583799999999895,0.5532928705215454,1.0,5.612297058105469,54.926902770996094
200001,4,0.050000000000000044,0.0,200.0,-0.1304999999999987,1.5046435594558716,1.0,10.722448348999023,854.1884765625
400001,4,0.050000000000000044,0.0,200.0,-0.05746199999999888,0.2967195510864258,1.0,4.690456390380859,64.19070434570312
210001,4,0.050000000000000044,0.0,200.0,-0.10649999999999879,3.7687759399414062,1.0,23.136075973510742,804.7389526367188
220001,4,0.050000000000000044,0.0,200.0,-0.09099999999999879,5.317952632904053,1.0,148.0767364501953,16146.0712890625
420001,4,0.050000000000000044,0.0,200.0,-0.11499999999999881,0.43229958415031433,1.0,6.012626647949219,73.3185043334961
230001,4,0.050000000000000044,0.0,200.0,-0.10499999999999873,81.75362396240234,1.0,2578.16796875,153285.546875
440001,4,0.050000000000000044,0.0,200.0,-0.10799999999999889,0.34273993968963623,1.0,5.175325393676758,80.07783508300781
240001,4,0.050000000000000044,0.0,200.0,-0.09799999999999877,494.3271789550781,1.0,24034.90625,1526716.5
250001,4,0.050000000000000044,0.0,200.0,-0.09549999999999886,5284.47412109375,1.0,250691.859375,3675621.75
460001,4,0.050000000000000044,0.0,200.0,-0.07599999999999893,0.8212424516677856,1.0,7.4733099937438965,84.30353546142578
260001,4,0.050000000000000044,0.0,200.0,-0.11249999999999893,25844.751953125,1.0,1347454.0,23302204.0
480001,4,0.050000000000000044,0.0,200.0,-0.08549999999999879,0.8010985851287842,1.0,8.55413818359375,90.18054962158203
270001,4,0.050000000000000044,0.0,200.0,-0.144999999999999,74275.515625,1.0,7673006.0,111406576.0
